
Above Sea Level - The Raintree, Seafood Platter, ₹600, Seafood, all seasons, 101
Sigree, Mango Lassi, ₹120, Beverage, hot sunny days, 2106


Soy Soi, Sushi Platter, ₹500, Japanese, hot sunny days, 2201
Soy Soi, Ramen, ₹450, Japanese, cold winters, 2202
Soy Soi, Dim Sum, ₹300, Chinese, all seasons, 2203
Soy Soi, Pad Thai, ₹400, Thai, all seasons, 2204
Soy Soi, Green Tea Ice Cream, ₹150, Dessert, hot sunny days, 2205
Soy Soi, Mango Sticky Rice, ₹200, Dessert, all seasons, 2206


The Alcove, Chicken Chettinad, ₹350, South Indian, all seasons, 2301
The Alcove, Masala Dosa, ₹150, South Indian, all seasons, 2302
The Alcove, Fish Curry, ₹300, South Indian, rainy seasons, 2303
The Alcove, Fried Rice, ₹250, Chinese, all seasons, 2304
The Alcove, Veg Hakka Noodles, ₹200, Chinese, all seasons, 2305
The Alcove, Grilled Sandwich, ₹150, Continental, all seasons, 2306
The Alcove, Chicken Burger, ₹200, Fast Food, all seasons, 2307
The Alcove, Paneer Tikka, ₹250, Continental, all seasons, 2308
The Alcove, Chocolate Brownie, ₹150, Dessert, all seasons, 2309
The Alcove, Lemonade, ₹80, Beverage, hot sunny days, 2310
The Alcove, Filter Coffee, ₹50, Beverage, all seasons, 2311
The Alcove, Veg Manchurian, ₹200, Chinese, all seasons, 2312


The Brew Room, Veg Burger, ₹300, Continental, all seasons, 2401
The Brew Room, Chicken Alfredo Pasta, ₹400, Italian, all seasons, 2402
The Brew Room, Greek Salad, ₹250, Mediterranean, hot sunny days, 2403
The Brew Room, Waffles with Maple Syrup, ₹200, Dessert, all seasons, 2404
The Brew Room, Espresso, ₹150, Beverage, all seasons, 2405
The Brew Room, Lemon Iced Tea, ₹100, Beverage, hot sunny days, 2406


The Fat Boy, BBQ Ribs, ₹450, American, all seasons, 2501
The Fat Boy, Buffalo Wings, ₹300, American, all seasons, 2502
The Fat Boy, Cheeseburger, ₹350, American, all seasons, 2503
The Fat Boy, Loaded Fries, ₹250, American, all seasons, 2504
The Fat Boy, Chocolate Milkshake, ₹180, Beverage, hot sunny days, 2505
The Fat Boy, Pulled Pork Sandwich, ₹400, American, all seasons, 2506


The Flying Elephant, BBQ Pork Ribs, ₹500, American, all seasons, 2601
The Flying Elephant, Grilled Lamb Chops, ₹600, Continental, all seasons, 2602
The Flying Elephant, Caesar Salad, ₹350, Continental, hot sunny days, 2603
The Flying Elephant, Margherita Pizza, ₹400, Italian, all seasons, 2604
The Flying Elephant, Chocolate Fondant, ₹250, Dessert, cold winters, 2605
The Flying Elephant, Mango Smoothie, ₹200, Beverage, hot sunny days, 2606


The Reef - Sheraton Grand, Caesar Salad, ₹250, Continental, hot sunny days, 2701
The Reef - Sheraton Grand, Margherita Pizza, ₹300, Italian, all seasons, 2702
The Reef - Sheraton Grand, Grilled Chicken, ₹350, Continental, all seasons, 2703
The Reef - Sheraton Grand, Spaghetti Bolognese, ₹400, Italian, all seasons, 2704
The Reef - Sheraton Grand, Cheesecake, ₹200, Dessert, all seasons, 2705
The Reef - Sheraton Grand, Mojito, ₹150, Beverage, hot sunny days, 2706


Tuscana Pizzeria, Margherita Pizza, ₹350, Italian, all seasons, 2801
Tuscana Pizzeria, Quattro Formaggi Pizza, ₹450, Italian, all seasons, 2802
Tuscana Pizzeria, Spaghetti Aglio e Olio, ₹400, Italian, all seasons, 2803
Tuscana Pizzeria, Caesar Salad, ₹300, Continental, hot sunny days, 2804
Tuscana Pizzeria, Tiramisu, ₹250, Dessert, all seasons, 2805
Tuscana Pizzeria, Gelato, ₹150, Dessert, hot sunny days, 2806


Upperdeck, Grilled Fish, ₹400, Continental, all seasons, 2901
Upperdeck, Caesar Salad, ₹250, Continental, hot sunny days, 2902
Upperdeck, Lamb Chops, ₹450, Continental, all seasons, 2903
Upperdeck, Chicken Skewers, ₹350, Continental, all seasons, 2904
Upperdeck, Tiramisu, ₹200, Dessert, all seasons, 2905
Upperdeck, Mojito, ₹150, Beverage, hot sunny days, 2906
